,KL,bs,config_file,data,data_split_seed,decrease_from,det_test_acc,do,dwp_samples,ens,ens[10]_test_acc,epochs,gamma,gpu_id,hid_dim,id,init,kernel_dim,kl_weight,l2,l2_norm,lamb,log_dir,loss,lr,model,n_classes,name,net_cfg,num_examples,pretrained,prior,prior+init,resume,root,samp_test_acc,sec,seed,start_kl,start_stoch,t,test_acc,test_bs,test_loss,test_nll,time,tmp,train_acc,train_loss,train_nll,vae,vae_hid_dim,vae_var,z_dim
199,16138.8564453125,256,None,shapes,2,0,0.9934010152284264,,1.0,10.0,0.9934010152284264,200,0.5,7,20,5168,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,100,,dwp,dwp (vae init),,exman-train-bnn.py/runs/005168-2018-08-14-23-06-30,0.9928934010152284,0.15105843544006348,2,1.0,1.0,200,,500,17574.718484871093,0.07584571093320848,2018-08-14 23:06:30,False,1.0,16147.002997398376,0.08146552085876464,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
399,12662.98409375,256,None,shapes,1,0,0.9954314720812184,,1.0,10.0,0.9954314720812184,200,0.5,7,20,5169,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,500,,dwp,dwp (vae init),,exman-train-bnn.py/runs/005169-2018-08-14-23-06-31,0.9949238578680204,0.104081392288208,1,1.0,1.0,200,,500,12383.54270304367,0.027078043669462204,2018-08-14 23:06:31,False,1.0,12673.476608837129,0.02098503017425537,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
599,20468.599609375,256,None,shapes,0,0,0.7512690355329951,,1.0,10.0,0.7502538071065991,200,0.5,6,20,5170,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,20,,sn,sn (vae init),,exman-train-bnn.py/runs/005170-2018-08-14-23-06-31,0.7482233502538072,0.11498785018920897,0,1.0,1.0,200,,500,20469.2066295743,0.6070201992988586,2018-08-14 23:06:31,False,1.0,20470.354667186737,0.08775289058685302,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
799,20474.220703125,256,None,shapes,0,0,0.9786802030456851,,1.0,10.0,0.9786802030456851,200,0.5,2,20,5171,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,100,,sn,sn (vae init),,exman-train-bnn.py/runs/005171-2018-08-14-23-06-31,0.9786802030456851,0.11645269393920897,0,1.0,1.0,200,,500,20474.32145821303,0.10075508803129196,2018-08-14 23:06:31,False,1.0,20479.302546978,0.05081843852996826,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
999,20470.677734375,256,None,shapes,2,0,0.9106598984771572,,1.0,10.0,0.9091370558375634,200,0.5,3,20,5172,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,40,,sn,sn (vae init),,exman-train-bnn.py/runs/005172-2018-08-14-23-06-31,0.9081218274111676,0.1367495059967041,2,1.0,1.0,200,,500,20470.948427140716,0.27069276571273804,2018-08-14 23:06:31,False,1.0,20474.15296554565,0.08688077926635743,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
1199,20997.0380859375,256,None,shapes,3,0,0.8218274111675127,,1.0,10.0,0.8213197969543147,200,0.5,4,20,5173,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,10,,dwp,dwp (vae init),,exman-train-bnn.py/runs/005173-2018-08-14-23-06-31,0.8218274111675127,0.10726308822631836,3,1.0,1.0,200,,500,22361.944569468502,1.13646399974823,2018-08-14 23:06:31,False,1.0,20997.2499833107,0.021189737319946292,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
1399,17726.915283203125,256,None,shapes,2,0,0.9898477157360406,,1.0,10.0,0.9893401015228428,200,0.5,5,20,5174,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,30,,dwp,dwp (vae init),,exman-train-bnn.py/runs/005174-2018-08-14-23-06-31,0.9893401015228428,0.13031482696533206,2,1.0,1.0,200,,500,19218.176475018263,0.09230753779411316,2018-08-14 23:06:31,False,1.0,17728.370974302292,0.04852303663889567,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
1599,16078.96044921875,256,None,shapes,2,0,0.9873096446700508,,1.0,10.0,0.9868020304568528,200,0.5,4,20,5175,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,20,,dwp,dwp (vae init),,exman-train-bnn.py/runs/005175-2018-08-14-23-06-31,0.9873096446700508,0.1124563217163086,2,1.0,1.0,200,,500,17140.734003983438,0.10216804593801497,2018-08-14 23:06:31,False,1.0,16079.981383085249,0.051046693325042726,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
1799,22202.07788085937,256,None,shapes,3,0,0.9949238578680204,,1.0,10.0,0.9949238578680204,200,0.5,6,20,5176,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,30,,dwp,dwp (vae init),,exman-train-bnn.py/runs/005176-2018-08-14-23-06-31,0.9934010152284264,0.09444093704223633,3,1.0,1.0,200,,500,23475.418806932867,0.08531083911657332,2018-08-14 23:06:31,False,1.0,22205.132883548737,0.10183342297871907,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
1999,20473.80859375,256,None,shapes,1,0,0.9776649746192894,,1.0,10.0,0.9786802030456851,200,0.5,3,20,5177,vae,16.0,1.0,,,1.0,,,0.01,shapes,10,dwp-sn-init-full-grid,bayes,100,,sn,sn (vae init),,exman-train-bnn.py/runs/005177-2018-08-14-23-06-31,0.9766497461928934,0.09284496307373047,1,1.0,1.0,200,,500,20473.905977033082,0.0973832830786705,2018-08-14 23:06:31,False,1.0,20478.12756633758,0.043189725875854484,"./vae/z-dim=2,hidden-dim=32/0/vae_params.torch",32.0,train,2.0
